cover_average-length,cover_brief,cover_concise,cover_extensive,cover_long,cover_medium-length,cover_moderate-length,cover_short,cover_verbose,email_average-length,email_brief,email_concise,email_extensive,email_long,email_medium-length,email_moderate-length,email_short,email_verbose,essay_average-length,essay_brief,essay_concise,essay_extensive,essay_long,essay_medium-length,essay_moderate-length,essay_short,essay_verbose,explanation_average-length,explanation_brief,explanation_concise,explanation_extensive,explanation_long,explanation_medium-length,explanation_moderate-length,explanation_short,explanation_verbose,social_average-length,social_brief,social_concise,social_extensive,social_long,social_medium-length,social_moderate-length,social_short,social_verbose
1349,1030,997,1406,2244,1186,1951,1131,2053,998,798,877,1171,1819,1361,1414,1213,1348,2391,1389,2267,2284,3175,2680,2496,1979,2539,1506,1364,1071,1809,2649,1462,1440,1251,1751,932,439,531,1604,1315,1103,935,452,1221
1409,1269,886,1810,1899,1235,1546,1089,1996,1203,952,640,1917,1323,1670,1258,736,1803,2894,1987,1868,2787,2990,2440,2790,1839,2201,1254,1139,1364,2533,2879,1419,1476,1386,2533,650,686,365,1108,1380,991,929,496,1388
1267,1254,969,1885,1938,1274,1471,1120,1888,993,745,1152,1337,1485,1297,1144,1218,1592,2477,2239,1665,2606,3022,2869,3274,1836,2795,1247,1228,1159,2365,2218,1425,1508,962,2042,540,676,399,1209,1101,829,932,433,1223
1295,969,868,2069,2136,1731,1664,1056,1649,1212,792,799,1892,1790,1025,1013,870,1496,2636,1924,1844,3419,3003,2421,2521,2242,2456,1240,1104,818,2625,2978,1908,1320,1020,1977,823,668,444,1281,1079,982,959,507,1258
1209,850,808,1967,2030,1619,1516,905,1745,1092,672,975,1516,1455,1279,1133,1038,1127,2335,2515,1894,3183,3294,2131,2414,1972,2398,1230,1205,1840,2816,2137,1524,1584,874,1894,781,742,423,1162,1344,772,1155,507,950
1511,1198,1036,1810,1901,1689,1647,1077,1636,1328,946,814,1249,1405,1466,1703,759,1693,2982,1921,1897,2816,3127,2479,2102,1918,2951,1365,1083,1304,2140,2126,1597,1376,1342,2484,1048,426,530,1226,1735,916,818,447,1212
1908,1215,917,1596,2069,1096,1487,1157,1482,1236,1073,672,1713,1589,1532,1319,1006,1537,2416,2032,1997,2421,2948,2330,2147,1955,3384,1623,1147,1155,2551,2233,1365,1262,1052,2237,769,554,328,1178,1013,987,792,564,1450
1605,911,939,1804,2573,1669,1573,1204,1901,906,810,1291,1703,1814,942,1141,1087,1157,2583,2267,1814,3418,2866,2575,2350,1593,3048,1497,1345,997,2409,1804,1650,1417,1117,1904,890,476,495,1305,1831,1102,754,452,1546
1456,883,708,1865,2111,1308,1526,1084,1837,1314,863,929,1281,1115,1353,1463,930,909,2099,2147,1827,3255,2904,2455,2054,2087,2656,1036,1131,749,2890,1924,1068,1542,1489,2001,831,452,441,1296,1496,849,1060,443,1406
1478,1098,1048,2182,2014,1563,1472,1178,1652,1074,1074,889,1622,2033,1404,1433,1051,1533,2914,2022,1890,2792,2947,2244,2604,2346,2534,996,1189,1655,3027,1828,1688,2701,1193,1725,965,433,415,1445,1136,861,768,474,1097
1273,1231,813,1310,2009,1593,1515,1052,1748,1209,775,792,1851,1772,1453,1681,1156,1519,2533,1909,1649,2743,2520,2668,2662,2165,2993,1067,937,1039,2473,2112,1639,1316,1406,3248,813,606,423,1184,1242,866,1087,500,1430
1828,1161,993,1569,2134,1776,1403,974,1593,936,910,620,1477,1508,1332,1541,1052,1569,2150,1657,2171,3262,3312,2376,2307,2522,2914,1235,1677,1326,2774,1744,1633,1732,922,1302,556,532,547,1175,1346,940,866,757,991
1381,1150,845,1662,1782,1489,1757,1096,1699,1054,1187,964,1528,1567,998,1596,824,1513,2536,2092,1973,3024,3364,2757,2949,2305,2737,1333,1174,1048,2091,1844,1550,1384,933,2940,901,415,380,1527,1347,1010,993,599,1338
1553,1219,888,1789,1682,1407,1526,1134,2118,951,1168,928,1588,1243,1127,1648,690,1126,2258,2069,2316,2801,3207,2328,2542,1753,3319,1431,1128,930,1819,1608,1478,1909,812,2186,889,475,376,1457,1477,1104,1080,710,1251
1679,1002,903,1931,2246,1254,1333,1057,1635,996,625,737,1623,1300,1780,1206,801,1304,2484,1757,1524,2758,3278,2713,2819,1840,2602,1420,1042,1450,2101,2673,1316,1618,1136,3730,932,453,527,1324,1501,1064,955,578,1306
1325,1398,1025,1991,2524,1329,1425,1030,1863,946,822,872,1385,1268,1275,1129,877,1687,2510,2371,1843,2199,3370,3135,2182,1715,3073,1535,1011,928,1786,1876,1375,1288,1497,2436,722,397,506,1536,1102,896,1157,619,1240
1375,929,835,1741,2355,1125,1348,1132,1976,1029,912,745,1238,1689,1074,1100,898,1377,2695,2107,1586,3302,3010,2601,2469,1850,2626,1449,1348,1114,3553,2589,1234,2462,1224,2969,661,813,625,1464,1350,1128,868,468,1189
1289,1220,1072,1637,2551,1636,1245,1183,2338,1229,1172,873,1112,1382,914,1458,1174,1274,2445,1603,1919,2297,3653,2845,2392,2054,3495,1969,1216,1137,2763,2841,1205,1332,1117,1667,641,585,537,1353,1174,966,797,511,942
1263,1109,964,1667,2117,1599,1067,1236,1855,1283,973,991,1120,1335,1554,1419,785,1790,2786,2290,1824,2214,2595,2594,2891,1847,2927,1780,1033,804,2109,2322,1354,2246,1090,2055,854,635,554,1276,1377,789,1191,473,1551
1413,1061,840,2021,1467,1546,1485,1088,1601,1268,880,918,1398,1761,1332,1161,787,1499,2712,2406,2036,3363,2717,2598,2685,2266,3081,1817,1455,877,3141,1907,1462,1607,755,1449,726,641,492,1550,1487,937,919,532,1460
1611,1053,1188,1343,1896,2170,1698,874,1858,1415,1048,806,1435,1720,1144,1332,882,1507,2589,2072,1931,3068,3192,2372,2474,2391,2364,1438,1981,1077,2415,2111,1386,1922,744,1376,573,450,435,1187,1208,956,988,556,1449
1356,871,812,1727,1887,1720,1423,1090,1928,1325,903,752,1588,1853,1255,1538,952,1492,2606,1932,1780,3042,3046,2308,2923,2138,2950,1002,935,1006,2841,2732,1542,2267,788,2055,731,509,477,1493,1625,1275,1063,499,1211
1436,933,951,1806,1966,1725,1587,1250,1639,1335,857,896,1349,1716,1465,1193,662,1509,3204,2137,1905,3129,2592,3035,2197,2006,2546,1513,1415,1384,2017,1534,1506,1288,802,2260,954,480,395,1220,958,711,965,439,1449
1537,1260,965,1926,2101,1462,1371,1089,1792,839,1070,832,1140,1525,1400,1324,914,1722,2718,1981,2017,3442,2800,2322,2471,2170,2897,1422,1012,1135,2119,1774,1671,1197,1202,2174,746,472,471,1547,1589,732,920,500,1311
1108,990,887,1498,1580,1678,1636,1246,1664,1392,1096,929,1336,1672,1264,1145,1092,1521,2707,2506,1546,2379,3225,2544,2754,2044,2546,1208,1447,947,2207,1993,1141,1762,1041,1721,645,359,403,1615,1071,975,840,781,840
1289,932,769,1733,1775,1391,1619,1010,2227,1116,771,753,1543,1291,1074,1120,1166,1683,2660,2270,2102,2998,3051,2529,2562,2051,2730,1200,1185,911,1706,2556,1452,2108,837,2447,875,472,479,1205,1289,996,1141,527,1271
1346,817,943,1881,2328,1644,1461,1012,1944,1243,794,759,1277,1503,1455,1259,1005,1288,2272,1823,2164,2692,2436,2587,2525,2138,2695,1364,1616,949,2301,2597,1079,1381,997,2255,654,801,607,975,1433,1128,1279,487,1450
